,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,Vardø,70.37,31.11,30.2,92,75,12.75,NO,1603306470
326,Fairbanks,64.84,-147.72,23,92,90,1.12,US,1603306544
327,Cerrito,6.84,-72.69,82.4,65,40,3.36,CO,1603306594
328,Manyana,-23.4,21.72,83.01,15,15,11.95,BW,1603306595
329,Qaqortoq,60.72,-46.03,32,88,75,5.73,GL,1603306307
330,Shiyan,32.65,110.78,56.03,61,0,4.68,CN,1603306595
331,Nome,64.5,-165.41,39.2,93,75,3.94,US,1603306596
332,Yagodnoye,62.55,149.67,11.5,83,80,1.39,RU,1603306596
333,Birakan,49.02,131.7,33.96,94,6,2.75,RU,1603306596
334,Yellowknife,62.46,-114.35,25,79,90,17.22,CA,1603306398
335,Waingapu,-9.66,120.26,79.14,76,0,1.3,ID,1603306596
336,Burgos,42.34,-3.71,50,93,20,8.05,ES,1603306597
337,Rio Verde de Mato Grosso,-18.92,-54.84,90.12,44,66,6.58,BR,1603306597
338,Mahajanga,-15.72,46.32,82.4,69,20,11.41,MG,1603306597
339,Sungai Penuh,-2.08,101.38,65.23,93,100,1.41,ID,1603306597
340,Diplo,24.47,69.58,82.87,45,0,8.81,PK,1603306597
341,Ābyek,36.07,50.55,55.4,66,0,13.87,IR,1603306598
342,Umeå,63.83,20.26,37.4,100,90,3.36,SE,1603306598
343,Abu Samrah,35.3,37.18,65.46,82,0,9.69,SY,1603306598
344,Kjøllefjord,70.95,27.35,33.8,80,75,7.61,NO,1603306598
345,Nanortalik,60.14,-45.24,33.78,88,100,13.42,GL,1603306599
346,Simao,22.79,100.97,55.26,82,94,2.08,CN,1603306599
347,Viedma,-40.81,-63,62.01,33,97,4,AR,1603306599
348,El Salvador,13.83,-88.92,82.4,69,40,4.7,SV,1603306418
349,Paciran,-6.88,112.38,80.47,78,96,3.71,ID,1603306599
350,Kiama,-34.68,150.87,61,87,96,1.01,AU,1603306600
351,Ayagoz,47.97,80.44,50.45,43,0,19.77,KZ,1603306358
352,Beruwala,6.48,79.98,80.49,84,3,11.25,LK,1603306600
353,Karacabey,40.22,28.4,66.2,77,20,25.28,TR,1603306600
354,Basco,20.45,121.97,83.55,85,100,20.4,PH,1603306601
355,Golspie,57.97,-3.98,51.01,96,100,5.99,GB,1603306601
356,Xuanwu,32.07,118.81,61,93,100,4.9,CN,1603306601
357,St. George's,12.06,-61.75,87.8,70,20,17.22,GD,1603306541
358,Arlit,18.74,7.39,93.78,10,40,11.1,NE,1603306506
359,Yala,6.33,101.25,75.49,89,100,2.33,TH,1603306601
360,Pringsewu,-5.36,104.97,75,88,92,3.24,ID,1603306602
361,Ola,59.58,151.28,29.61,85,4,7.23,RU,1603306602
362,Qasigiannguit,68.82,-51.19,32,92,75,6.93,GL,1603306602
363,Lincoln,40.8,-96.67,50,66,90,6.93,US,1603306303
364,Chapais,49.78,-74.85,32,99,90,11.41,CA,1603306603
365,Port Hardy,50.7,-127.42,48.2,70,20,10.29,CA,1603306603
366,Puerto Baquerizo Moreno,-0.9,-89.6,73.4,78,75,10.29,EC,1603306603
367,Celestún,20.87,-90.4,82.72,80,8,8.59,MX,1603306603
368,Faya,18.39,42.45,68,17,0,11.41,SA,1603306603
369,Broome,42.25,-75.83,75.99,64,20,11.41,US,1603306604
370,Tari,12.41,4.49,86.58,25,54,6.73,NG,1603306604
371,Codrington,-38.27,141.97,43.03,91,6,5.44,AU,1603306604
372,Walvis Bay,-22.96,14.51,60.8,77,97,13.87,NA,1603306374
373,Ashington,50.93,-0.39,59,93,20,12.75,GB,1603306605
374,Boshnyakovo,49.63,142.17,50.54,93,100,16.62,RU,1603306605
375,Nevers,46.99,3.16,64.4,72,100,4.7,FR,1603306605
376,Zhengjiatun,43.51,123.51,35.02,70,0,8.99,CN,1603306605
377,Sechura,-5.56,-80.82,77.04,52,77,13,PE,1603306605
